images,labels
data/images/paper_047.jpg,data/labels/paper_047.txt
data/images/paper_188.jpg,data/labels/paper_188.txt
data/images/paper_192.jpg,data/labels/paper_192.txt
data/images/paper_086.jpg,data/labels/paper_086.txt
data/images/paper_162.jpg,data/labels/paper_162.txt
data/images/paper_037.jpg,data/labels/paper_037.txt
data/images/paper_191.jpg,data/labels/paper_191.txt
data/images/paper_062.jpg,data/labels/paper_062.txt
data/images/paper_023.jpg,data/labels/paper_023.txt
data/images/paper_142.jpg,data/labels/paper_142.txt
data/images/paper_102.jpg,data/labels/paper_102.txt
data/images/paper_034.jpg,data/labels/paper_034.txt
data/images/paper_012.jpg,data/labels/paper_012.txt
data/images/paper_195.jpg,data/labels/paper_195.txt
data/images/paper_160.jpg,data/labels/paper_160.txt
data/images/paper_007.jpg,data/labels/paper_007.txt
data/images/paper_028.jpg,data/labels/paper_028.txt
data/images/paper_121.jpg,data/labels/paper_121.txt
data/images/paper_005.jpg,data/labels/paper_005.txt
data/images/paper_033.jpg,data/labels/paper_033.txt
data/images/paper_143.jpg,data/labels/paper_143.txt
data/images/paper_146.jpg,data/labels/paper_146.txt
data/images/paper_110.jpg,data/labels/paper_110.txt
data/images/paper_145.jpg,data/labels/paper_145.txt
data/images/paper_011.jpg,data/labels/paper_011.txt
data/images/paper_063.jpg,data/labels/paper_063.txt
data/images/paper_113.jpg,data/labels/paper_113.txt
data/images/paper_147.jpg,data/labels/paper_147.txt
data/images/paper_167.jpg,data/labels/paper_167.txt
data/images/paper_001.jpg,data/labels/paper_001.txt
data/images/paper_199.jpg,data/labels/paper_199.txt
data/images/paper_154.jpg,data/labels/paper_154.txt
data/images/paper_071.jpg,data/labels/paper_071.txt
data/images/paper_124.jpg,data/labels/paper_124.txt
data/images/paper_065.jpeg,data/labels/paper_065.txt
data/images/paper_045.jpg,data/labels/paper_045.txt
data/images/paper_164.jpg,data/labels/paper_164.txt
data/images/paper_029.jpg,data/labels/paper_029.txt
data/images/paper_041.jpg,data/labels/paper_041.txt
data/images/paper_109.jpg,data/labels/paper_109.txt
data/images/paper_156.jpg,data/labels/paper_156.txt
data/images/paper_157.jpg,data/labels/paper_157.txt
data/images/paper_026.jpg,data/labels/paper_026.txt
data/images/paper_024.jpg,data/labels/paper_024.txt
data/images/paper_185.jpg,data/labels/paper_185.txt
data/images/paper_148.jpg,data/labels/paper_148.txt
data/images/paper_082.jpg,data/labels/paper_082.txt
data/images/paper_040.jpg,data/labels/paper_040.txt
data/images/paper_169.jpg,data/labels/paper_169.txt
data/images/paper_048.jpg,data/labels/paper_048.txt
data/images/paper_095.jpg,data/labels/paper_095.txt
data/images/paper_155.jpg,data/labels/paper_155.txt
data/images/paper_044.jpg,data/labels/paper_044.txt
data/images/paper_139.jpg,data/labels/paper_139.txt
data/images/paper_004.jpg,data/labels/paper_004.txt
data/images/paper_106.jpg,data/labels/paper_106.txt
data/images/paper_054.jpg,data/labels/paper_054.txt
data/images/paper_134.jpg,data/labels/paper_134.txt
